Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Likes
0.595,0.912,10,-3.428,0.0884,0.0434,0,0.259,0.762,128.024,234453,1078390
0.898,0.677,11,-6.422,0.243,0.0223,0,0.35,0.578,130.027,154493,688783
0.742,0.882,7,-2.862,0.117,0.0466,0,0.206,0.463,102.04,221176,7147862
0.951,0.6,0,-4.675,0.0685,0.106,0,0.0712,0.822,125.04,218573,2124819
0.801,0.764,2,-5.112,0.0986,0.109,1.62E-05,0.247,0.578,89.999,154151,2514731
0.741,0.824,10,-4.143,0.0352,0.614,0,0.158,0.725,100.216,211666,1324227
0.718,0.776,7,-5.208,0.0693,0.000624,5.30E-06,0.207,0.622,120.015,227787,2235710
0.855,0.674,7,-4.328,0.314,0.165,0,0.0548,0.578,95.991,242253,1317175
0.711,0.761,8,-3.04,0.225,0.067,0,0.041,0.718,95.824,243880,1317175
0.765,0.666,7,-5.384,0.172,0.103,0,0.116,0.757,87.002,273360,2018040
0.812,0.712,0,-5.993,0.0452,0.01,0,0.108,0.85,98.029,148944,668740
0.828,0.588,2,-7.14,0.118,0.0156,0,0.124,0.598,94.052,224681,1928933
0.396,0.293,2,-14.062,0.0275,0.941,0.000196,0.105,0.343,100.307,182360,3486602
0.465,0.27,4,-16.661,0.0425,0.9,0.00104,0.145,0.58,94.518,129173,209579
0.575,0.236,2,-16.982,0.0422,0.968,0.0178,0.105,0.829,79.576,115827,4533
0.487,0.382,7,-10.889,0.0309,0.0422,4.74E-06,0.411,0.714,116.557,261280,84407
0.66,0.748,2,-11.206,0.0284,0.0993,0.00585,0.283,0.972,143.549,170293,17369
0.358,0.387,7,-14.342,0.0324,0.746,0.0121,0.119,0.495,181.183,218440,152547
0.325,0.715,7,-7.744,0.0368,0.00708,2.79E-05,0.0987,0.282,93.914,191840,374007
0.623,0.537,10,-10.014,0.0726,0.332,1.40E-05,0.0963,0.905,166.885,146933,1868278
0.404,0.266,10,-16.688,0.0334,0.716,0.133,0.107,0.491,88.916,167413,
0.481,0.733,5,-7.633,0.165,0.573,1.17E-05,0.108,0.874,122.903,140427,370274
0.916,0.844,7,-3.967,0.236,0.0394,0,0.0778,0.586,95.19,312627,4363164
0.801,0.91,2,-6.566,0.225,0.00239,0.000891,0.0737,0.805,87.277,278387,1301
